S.No.,Job Title,Job Description
53,Backend Developer,Machine Learning Cloud Computing Agile Communication HTML TensorFlow Java Kubernetes Leadership AWS
54,Product Manager,Java Leadership Agile Data Analysis Kubernetes HTML C++ JavaScript Cloud Computing AWS
55,Project Manager,Project Management Python HTML Kubernetes Data Analysis Machine Learning JavaScript
56,Software Engineer,HTML React Data Analysis Leadership Communication Machine Learning JavaScript CSS Java TensorFlow
57,Frontend Developer,Java Project Management Machine Learning Data Analysis C++ Docker Leadership Agile SQL CSS
58,Machine Learning Engineer,Docker Python Kubernetes JavaScript UI/UX React Cloud Computing Machine Learning AWS
59,Cloud Engineer,Data Analysis HTML Docker CSS Agile Leadership Communication
60,Project Manager,HTML Machine Learning SQL Project Management Communication TensorFlow CSS React AWS Leadership
61,Data Analyst,Cloud Computing CSS UI/UX HTML TensorFlow Docker SQL
62,Full Stack Developer,React CSS Docker SQL TensorFlow Cloud Computing
63,Data Scientist,CSS Leadership JavaScript C++ Agile Docker HTML
64,Software Engineer,HTML AWS Kubernetes Leadership React Docker UI/UX JavaScript Data Analysis
65,Software Engineer,TensorFlow HTML SQL C++ Agile Project Management
66,Data Analyst,Data Analysis Project Management HTML CSS UI/UX Java AWS Python C++ Communication
67,Data Scientist,Data Analysis Cloud Computing Kubernetes C++ Agile Java Communication SQL
68,Backend Developer,CSS Docker Kubernetes Project Management TensorFlow HTML AWS
69,Product Manager,Agile Leadership SQL UI/UX React JavaScript Python TensorFlow
70,UI/UX Designer,Docker SQL UI/UX Cloud Computing Leadership Project Management
71,Data Analyst,Docker Project Management AWS Python CSS Data Analysis Leadership SQL Cloud Computing Machine Learning
72,Project Manager,Agile Python TensorFlow React Communication
73,Data Analyst,Java Communication C++ React HTML Agile SQL
74,Software Engineer,Project Management HTML C++ AWS UI/UX Python React TensorFlow
75,Software Engineer,Docker Communication HTML C++ AWS Leadership Java React
76,Cloud Engineer,CSS Java Python Kubernetes Data Analysis
77,Data Scientist,SQL Agile AWS Project Management JavaScript TensorFlow React UI/UX Data Analysis
78,Machine Learning Engineer,C++ JavaScript Project Management SQL HTML
79,Product Manager,Python Docker React JavaScript SQL Project Management Cloud Computing
80,Cloud Engineer,Communication Project Management SQL Kubernetes JavaScript CSS HTML Cloud Computing Data Analysis
81,Data Analyst,Machine Learning Kubernetes C++ Communication AWS React Data Analysis
82,Project Manager,HTML C++ AWS Python Data Analysis
83,Data Scientist,Python Leadership C++ AWS Cloud Computing Project Management
84,Frontend Developer,React JavaScript Machine Learning C++ Communication UI/UX HTML TensorFlow
85,UI/UX Designer,Communication Agile UI/UX TensorFlow Project Management CSS React
86,Project Manager,UI/UX Leadership AWS SQL Docker Kubernetes Machine Learning JavaScript
87,UI/UX Designer,React Docker Kubernetes CSS Java Data Analysis JavaScript SQL
88,Project Manager,CSS Leadership Machine Learning Agile TensorFlow Cloud Computing
89,UI/UX Designer,Machine Learning TensorFlow Leadership SQL JavaScript CSS Data Analysis
90,DevOps Engineer,SQL Data Analysis Cloud Computing JavaScript Communication
91,Backend Developer,TensorFlow Java SQL Agile C++ Cloud Computing
92,Data Analyst,AWS C++ UI/UX Python TensorFlow Communication Java Docker Machine Learning HTML
93,Data Analyst,Agile HTML Communication Java Python Leadership CSS
94,Frontend Developer,Leadership Communication Machine Learning HTML React Java Cloud Computing
95,Project Manager,AWS UI/UX Python HTML Kubernetes
96,Project Manager,Docker C++ Agile Cloud Computing Communication Java React HTML TensorFlow
97,Product Manager,Project Management CSS Java UI/UX SQL
98,UI/UX Designer,Cloud Computing C++ Machine Learning JavaScript React Communication
99,Data Analyst,HTML JavaScript C++ Data Analysis Docker
100,Machine Learning Engineer,UI/UX AWS HTML JavaScript C++ Project Management Machine Learning Kubernetes SQL
101,Cloud Engineer,Java HTML Agile Data Analysis Python TensorFlow C++ UI/UX Kubernetes
102,Backend Developer,TensorFlow UI/UX React Data Analysis SQL HTML Communication AWS Java
103,Full Stack Developer,Docker Data Analysis SQL Project Management Java
104,Project Manager,UI/UX Agile JavaScript CSS Communication Python TensorFlow Leadership Java
105,Frontend Developer,React Communication Kubernetes Machine Learning SQL Docker Cloud Computing UI/UX Agile C++
106,Full Stack Developer,AWS Project Management JavaScript Docker SQL Python Cloud Computing Agile Java React
107,Product Manager,Communication Docker Python UI/UX Leadership CSS HTML Data Analysis
108,Backend Developer,React CSS Python Leadership JavaScript AWS Java
109,Product Manager,Data Analysis Machine Learning TensorFlow React C++ Kubernetes
110,UI/UX Designer,Kubernetes React JavaScript AWS SQL TensorFlow Data Analysis Machine Learning Python
111,DevOps Engineer,React Java Leadership Cloud Computing UI/UX HTML
112,Product Manager,React SQL Python Leadership Agile UI/UX Cloud Computing
113,Backend Developer,HTML Cloud Computing Java Machine Learning AWS Project Management Agile Data Analysis
114,DevOps Engineer,Python JavaScript Leadership HTML CSS Agile Project Management SQL Docker
115,Software Engineer,Cloud Computing HTML Agile C++ Python Project Management AWS TensorFlow
116,Backend Developer,Cloud Computing HTML Machine Learning CSS Python C++ Communication TensorFlow
117,Software Engineer,Data Analysis Cloud Computing Kubernetes HTML CSS Communication Agile Project Management Leadership Java
118,Frontend Developer,HTML Docker CSS Project Management Leadership
119,Machine Learning Engineer,UI/UX Python AWS Project Management Communication C++ Docker Cloud Computing Leadership Machine Learning
120,Backend Developer,CSS AWS JavaScript Machine Learning UI/UX
121,Software Engineer,Python Kubernetes CSS Cloud Computing TensorFlow
122,Data Scientist,React Machine Learning CSS AWS Leadership Python
123,Product Manager,Python Docker AWS Agile HTML CSS UI/UX Kubernetes Cloud Computing
124,UI/UX Designer,UI/UX Leadership Data Analysis Communication SQL Java HTML Cloud Computing AWS
125,Software Engineer,Docker Kubernetes JavaScript Cloud Computing CSS Python Java
126,DevOps Engineer,SQL HTML Cloud Computing Kubernetes Java
127,Data Analyst,React Machine Learning SQL C++ Cloud Computing CSS Data Analysis Project Management Java
128,Project Manager,C++ Java Kubernetes Python Leadership HTML Machine Learning UI/UX React Docker
129,Machine Learning Engineer,Docker TensorFlow Java Agile UI/UX
130,Cloud Engineer,Java TensorFlow Kubernetes AWS SQL React Data Analysis Leadership Communication HTML
131,Project Manager,C++ SQL Docker Agile React Project Management Machine Learning Cloud Computing
132,Frontend Developer,CSS Python Leadership Data Analysis SQL C++ TensorFlow Java Machine Learning Docker
133,Data Scientist,Kubernetes Leadership CSS SQL Java Agile Machine Learning Communication
134,Data Analyst,React Communication Kubernetes AWS SQL Python Docker Leadership
135,Backend Developer,UI/UX Python Docker Leadership Project Management Communication
136,Backend Developer,Machine Learning Cloud Computing Communication Docker Kubernetes AWS Python HTML
137,Frontend Developer,HTML C++ Python Cloud Computing React Docker Project Management Communication Java
138,Product Manager,UI/UX TensorFlow C++ Project Management HTML Kubernetes CSS Machine Learning Cloud Computing Communication
139,Frontend Developer,CSS Data Analysis UI/UX Leadership Project Management
140,Data Scientist,UI/UX JavaScript SQL Agile AWS HTML Machine Learning Communication Project Management
141,UI/UX Designer,Communication Agile Java Cloud Computing AWS Project Management HTML UI/UX Python
142,Backend Developer,Communication Agile HTML Java TensorFlow Python Machine Learning Cloud Computing
143,Full Stack Developer,Data Analysis Project Management HTML AWS Kubernetes TensorFlow Docker
144,DevOps Engineer,React Agile JavaScript Docker SQL Cloud Computing
145,Software Engineer,SQL Data Analysis Agile Project Management TensorFlow UI/UX AWS Communication CSS Kubernetes
146,Data Scientist,HTML Python TensorFlow Leadership Kubernetes Communication
147,Project Manager,JavaScript C++ Docker Data Analysis Python CSS AWS Machine Learning Java
148,Project Manager,Agile Cloud Computing TensorFlow Java Docker Communication Machine Learning Kubernetes HTML C++
149,Machine Learning Engineer,Cloud Computing Docker Project Management Python Data Analysis Leadership AWS React
150,DevOps Engineer,Docker Machine Learning Agile CSS Java Data Analysis Project Management
151,Full Stack Developer,Kubernetes UI/UX C++ Project Management Agile
152,Full Stack Developer,Python CSS JavaScript SQL Agile Java Kubernetes
153,Frontend Developer,AWS UI/UX Docker Kubernetes Agile SQL TensorFlow Leadership
154,Cloud Engineer,TensorFlow Cloud Computing Docker Java Kubernetes
155,Cloud Engineer,Docker Java Cloud Computing TensorFlow UI/UX C++ CSS React Project Management
156,Data Analyst,Project Management Agile TensorFlow Machine Learning C++ Java Docker JavaScript React CSS
157,Software Engineer,CSS Machine Learning Python Java Communication TensorFlow UI/UX
158,DevOps Engineer,Docker React Java CSS JavaScript
159,Software Engineer,Project Management UI/UX JavaScript React HTML Python CSS Leadership Communication
160,Software Engineer,Communication Kubernetes Project Management CSS Cloud Computing TensorFlow SQL C++
161,Cloud Engineer,TensorFlow HTML CSS Java Project Management Python C++ Kubernetes Cloud Computing
162,Backend Developer,JavaScript Communication Machine Learning SQL Docker Project Management Kubernetes TensorFlow HTML Python
163,Software Engineer,Communication AWS HTML Data Analysis Machine Learning
164,Data Scientist,Machine Learning SQL Python Agile CSS
165,Backend Developer,Machine Learning Cloud Computing SQL React HTML Data Analysis Kubernetes Java
166,Machine Learning Engineer,React JavaScript Cloud Computing Docker AWS Kubernetes
167,Machine Learning Engineer,TensorFlow Python Java Agile UI/UX AWS SQL JavaScript Project Management
168,Software Engineer,Docker SQL Leadership CSS Java C++ Kubernetes TensorFlow JavaScript
169,DevOps Engineer,Project Management Python Communication AWS Java
170,Machine Learning Engineer,React CSS Leadership Kubernetes Data Analysis Cloud Computing HTML
171,Full Stack Developer,Leadership Java Docker JavaScript HTML C++ Kubernetes CSS
172,Data Analyst,Java UI/UX Python JavaScript TensorFlow HTML C++ Machine Learning Leadership Agile
173,Data Scientist,Docker Java Agile UI/UX Cloud Computing Project Management C++ Communication Kubernetes
174,Machine Learning Engineer,Agile Project Management React HTML UI/UX AWS Kubernetes SQL JavaScript
175,Backend Developer,Project Management Agile Docker Python Leadership Cloud Computing JavaScript
176,Frontend Developer,Data Analysis Agile HTML CSS Leadership UI/UX SQL Python Java JavaScript
177,Machine Learning Engineer,Machine Learning TensorFlow Kubernetes Docker C++ Data Analysis HTML
178,Cloud Engineer,Machine Learning Cloud Computing AWS CSS React
179,Project Manager,CSS Python Java SQL Leadership HTML UI/UX
180,Software Engineer,Cloud Computing Machine Learning HTML React AWS Kubernetes TensorFlow
181,Frontend Developer,Project Management Agile Kubernetes Python TensorFlow
182,DevOps Engineer,Communication Project Management Cloud Computing Data Analysis Java SQL TensorFlow
183,Data Analyst,CSS Machine Learning SQL Agile Communication React UI/UX C++ Cloud Computing AWS
184,Machine Learning Engineer,Python CSS Cloud Computing JavaScript HTML Agile
185,Software Engineer,Data Analysis SQL TensorFlow UI/UX JavaScript Communication
186,DevOps Engineer,TensorFlow Agile JavaScript UI/UX Java Kubernetes React Communication CSS
187,UI/UX Designer,Machine Learning HTML Data Analysis C++ Agile React
188,Software Engineer,SQL React Cloud Computing UI/UX Leadership Project Management C++ Python Communication
189,UI/UX Designer,C++ TensorFlow Leadership Communication Data Analysis
190,Cloud Engineer,Leadership Agile Project Management Java Machine Learning Kubernetes JavaScript C++ TensorFlow
191,Data Scientist,Cloud Computing JavaScript Project Management Machine Learning Leadership AWS
192,Data Analyst,C++ Data Analysis SQL Python JavaScript Kubernetes Docker Machine Learning
193,Project Manager,React Leadership Java Machine Learning C++ CSS Kubernetes Python
194,UI/UX Designer,React Leadership Data Analysis C++ Cloud Computing TensorFlow Kubernetes
195,Backend Developer,Machine Learning React Python Docker C++ Communication SQL UI/UX TensorFlow Data Analysis
196,Data Analyst,CSS Docker Leadership JavaScript Data Analysis AWS Agile Python React UI/UX
197,Product Manager,AWS Docker JavaScript Python HTML Cloud Computing Communication SQL UI/UX
198,DevOps Engineer,Docker Java JavaScript Machine Learning Python TensorFlow Kubernetes Project Management Agile
199,Backend Developer,Kubernetes Agile Communication Leadership UI/UX CSS JavaScript HTML Java TensorFlow
200,Product Manager,Data Analysis Leadership Kubernetes Agile C++ CSS Project Management Docker TensorFlow HTML
